product,comment,aspect_tag,sentiment_tag
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['shop', 'giao', 'nhanh', 'đóng', 'gói', 'cẩn', 'thận', 'đủ', 'hàng', 'mình', 'thấy', 'kính', 'kingkong', 'hoàn', 'thiện', 'trông', 'tốt', 'hơn', 'mình', 'thích', 'kính', 'trong', 'hêt', 'luôn', 'chứ', 'không', 'thích', 'viền', 'đen', 'ốp', 'xinh', 'giá', 'rẻ', 'oke']","[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[-1, -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'ok', 'đúng', 'với', 'mô', 'tả', 'đẹp', 'ốp', 'đẹp', 'chống', 'bẩn', 'mà', 'giá', 'rẻ', 'oke', 'oke', 'oke', 'oke', 'oke', 'oike', 'oke', 'koe', 'kê', 'kê']","[1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, '1', '1', -1, '1', -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'tốt', 'lúc', 'đầu', 'thấy', 'rẻ', 'sợ', 'khách', 'hàng', 'oke', 'mà', 'nào', 'ngờ', 'về', 'ôp', 'siêu', 'đẹp', 'nha', 'mà', 'cầm', 'chắc', 'tay', 'khách', 'hàng', 'bị', 'tụt', 'keo', 'maiz', 'thui']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['đúng', 'với', 'mô', 'tả', 'đúng', 'ốp', 'đẹp', 'điên', 'luôn', 'trời', 'chống', 'bẩn', 'lưu', 'là', 'sạc', 'tháo', 'ốp', 'ra', 'vì', 'bên', 'trong', 'có', 'lớp', 'nhung', 'nhé']","[0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, '1', '1', -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['đúng', 'với', 'mô', 'tả', 'chuẩn', 'chất', 'lượng', 'sản', 'phẩm', 'tốt', 'hàng', 'giao', 'nhanh', 'giá', 'siêu', 'rẻ', 'đóng', 'gói', 'cẩn', 'thận', 'kĩ', 'càng', 'shop', 'rep', 'nhanh', 'nên', 'mua']","[0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, '1', '1', -1, '1', '1', -1, -1, -1, -1, -1, -1, '1', -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['đúng', 'với', 'mô', 'tả', 'ddusng', 'chất', 'lượng', 'sản', 'phẩm', 'tốt', 'hàng', 'rất', 'đẹp', 'shop', 'gói', 'hàng', 'siêu', 'kỹ', 'đặt', 'nhiều', 'nhưng', 'shop', 'giao', 'đủ', 'không', 'thiếu', 'món', 'nào', 'giá', 'rẻ', 'mà', 'rất', 'chất', 'lượng', 'sẽ', 'tiếp', 'tục', 'ủng', 'hộ', 'shop']","[0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, '1', '1', -1, '1', '1', -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'tốt', 'đúng', 'với', 'mô', 'tả', 'đúng', 'ốp', 'siêu', 'đẹp', 'giao', 'hàng', 'nhanh', 'đóng', 'gói', 'cẩn', 'thận', 'lắm', 'nha', 'sẽ', 'ủng', 'hộ', 'shop', 'nhiều', 'đơn', 'nữa']","[1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, '1', '1', -1, '1', -1, -1, -1, -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'xinh', 'đúng', 'với', 'mô', 'tả', 'đúng', 'ốp', 'đẹp', 'lắm', 'cạ', 'nhà', 'ơi', 'nên', 'mua', 'nha', 'vừa', 'máy', 'ví', 'dụ', 'nhân', 'vật', 'trữ', 'tình', 'trong', 'bài', 'thơ', '“mời', 'trầu”', 'hồ', 'xuân', 'hương', 'rất', 'dễ', 'xác', 'định', 'đó', 'chính', 'là', 'tác', 'giả', 'ví', 'dụ', 'nhân', 'vật', 'trữ', 'tình', 'trong', 'câu', 'ca', 'dao', '“nhớ', 'ai', 'ra', 'ngẩn', 'vào', 'ngơ', 'nhớ', 'ai', 'ai', 'nhớ', 'bạn', 'giờ', 'nhớ', 'ai', 'đó', 'có', 'thể', 'là', 'một', 'cô', 'gái', 'hay', 'một', 'chàng', 'trai', 'nói', 'chung', 'là', 'một', 'người', 'đang', 'yêu', 'say', 'đắm', 'đang', 'tương', 'tư', 'nhân', 'vật', 'trữ', 'tình', 'trong', 'câu', 'ca', 'dao', 'này', 'không', 'là', 'một', 'ai', 'cụ', 'thể', 'và', 'cũng', 'nhờ', 'vậy', 'mà', 'nhiều', 'người', 'nhìn', 'thấy', 'mình', 'đúng', 'hơn', 'là', 'tâm', 'trạng', 'của', 'mình', 'trong', 'câu', 'ca', 'dao', 'đó']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['tb', 'tặng', 'giá', 'trị', 'cho', 'lần', 'nạp', 'tiền', 'đầu', 'tiên', 'vào', 'chủ', 'nhật', 'hàng', 'tuần', 'ct', 'áp', 'dụng', 'với', 'thuê', 'bao', 'nạp', 'tiền', 'vào', 'tài', 'khoản', 'viễn', 'thông', 'qua', 'tài', 'khoản', 'viettel', 'pay', 'liên', 'kết', 'trên', 'ứng', 'dụng', 'my', 'viettel', 'tiền', 'khuyến', 'mại', 'sử', 'dụng', 'nội', 'mạng', 'trong', 'ngày', 'giảm', 'giá', 'thêm', 'khi', 'nạp', 'tiền', 'tại', 'https', 'myvt', 'page', 'link', 'naptiencn', 'lh', 'trân', 'trọng']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['trao', 'kinh', 'đô', 'lộc', 'tết', 'vui', 'chuyện', 'sum', 'vầytết', 'này', 'hãy', 'trao', 'lời', 'chúc', 'nghĩa', 'nhất', 'đến', 'những', 'người', 'thân', 'thương', 'bằng', 'bộ', 'quà', 'tết', 'kinh', 'đô', 'lộc', 'kinh', 'đô', 'lộc', 'trao', 'tay', 'như', 'trao', 'lời', 'chúc', 'cho', 'tiền', 'tài', 'thịnh', 'vượng', 'cho', 'sức', 'khỏe', 'tình', 'thân', 'cho', 'hạnh', 'phúc', 'sum', 'vầy', 'cho', 'vạn', 'điều', 'trân', 'quý', 'kinhdo', 'kinhdoloc', 'boquatet', 'tetvuichuyensumvay']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['ốp', 'chống', 'bẩn', 'nhưng', 'chất', 'lượng', 'không', 'như', 'mong', 'đợi', 'quan', 'trọng', 'là', 'ốp', 'ship', 'về', 'không', 'dùng', 'được', 'các', 'nút', 'bấm', 'như', 'âm', 'lượng', 'và', 'nguồn', 'nhắn', 'cho', 'shop', 'thì', 'không', 'trả', 'lời', 'chỉ', 'xin', 'lỗi', 'lời', 'hợt', 'không', 'thể', 'chấp', 'nhận', 'được', 'các', 'bạn', 'cân', 'nhắc', 'khi', 'mua']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'mùi', 'keo', 'hay', 'nhựa', 'cao', 'su', 'cực', 'hắc', 'đúng', 'với', 'mô', 'tả', 'đúng', 'k', 'biết', 'mùi', 'gì', 'nhưng', 'mùi', 'rất', 'hắc', 'kiểu', 'như', 'mùi', 'keo', 'vậy', 'cầm', 'trên', 'tay', 'một', 'lúc', 'mà', 'mùi', 'hết', 'cả', 'ra', 'tay', 'tùy', 'nhiên', 'ốp', 'giống', 'như', 'mô', 'tả', 'không', 'biết', 'để', 'lâu', 'có', 'hết', 'mùi']","[1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2', '2', -1, -1, '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['được', 'cái', 'giao', 'hàng', 'khá', 'nhanh', 'tuy', 'nhiên', 'mình', 'thấy', 'nó', 'cực', 'kì', 'mùi', 'luôn', 'trước', 'cũng', 'dùng', 'loại', 'ốp', 'chống', 'bẩn', 'nhưng', 'không', 'hề', 'có', 'mùi', 'như', 'thế', 'nào', 'để', 'ra', 'ngoài', 'cũng', 'mấy', 'tiếng', 'mà', 'vẫn', 'mùi', 'hắc', 'nồng', 'nặc', 'luôn']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['ốp', 'silicon', 'cứng', 'shop', 'giao', 'đúng', 'mẫu', 'khung', 'máy', 'chắc', 'chắn', 'giá', 'rẻ', 'nhưng', 'mà', 'màu', 'dễ', 'bẩn', 'nha', 'update', 'nay', 'mới', 'phát', 'hiện', 'ra', 'là', 'giả', 'nhung', 'nha', 'anh', 'em', 'chỉ', 'là', 'lớp', 'decan', 'mỏng', 'dính', 'thôi', 'không', 'êm', 'thô', 'lắm']","[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, '1', '1', -1, -1, '1', -1, -1, -1, '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'tốt', 'đúng', 'với', 'mô', 'tả', 'đúng', 'tui', 'thấy', 'màu', 'hồng', 'này', 'đậm', 'hơi', 'trên', 'hình', 'nha', 'màu', 'ngoài', 'cũng', 'hơi', 'sến', 'sến', 'mùi', 'siêu', 'hôi']","[1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['1', '1', -1, -1, -1, -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '2', -1, -1]"
